0.29,0.39,0.125915448,0.001688194
0.39,0.42,0.124597351,0.001627882
0.42,0.435,0.126066252,0.001697056
0.435,0.45,0.124081828,0.001618641
0.45,0.475,0.12323717,0.001363818
0.4336,0.5256,0.125317996,0.001852026
0.4841,0.4881,0.125038794,0.002231591
0.4881,0.5001,0.122794137,0.001652271
0.5001,0.51,0.124471282,0.001791647
0.51,0.525,0.122214565,0.00156205
0.525,0.54,0.123433788,0.001596872
0.54,0.55,0.123081274,0.001746425
0.55,0.56,0.12369236,0.001830301
0.56,0.57,0.123790145,0.002135416
0.53,0.57,0.120288819,0.002507987
0.57,0.5888,0.12203647,0.002491987
0.5888,0.5898,0.124801442,0.004471018
0.5898,0.635,0.1235682,0.002054264
0.635,0.67,0.120957431,0.002116601
0.67,0.71,0.122928028,0.002071232
0.71,0.766,0.122758706,0.002002498
0.766,0.7708,0.122572835,0.003694591
0.7708,0.82,0.124488554,0.002808914
0.82,0.88,0.121502675,0.002569047
0.88,0.94,0.119892869,0.002630589
0.94,1.03,0.121289324,0.002918904